Model,TDP
AMD Ryzen 5 1600 ,65.0
AMD Ryzen 5 PRO 4650U,15.0
AMD Ryzen 5 PRO 2600,65.0
AMD Ryzen 5 PRO 1600,65.0
FX-6350 with Wraith cooler,125.0
FX-6350,125.0
FX-6300,95.0
FX-6200,125.0
FX 6100,95.0
1075T,95.0
4340,95.0
4334,95.0
4332 HE,65.0
4310 EE,35.0
4240,95.0
4238,95.0
4234,95.0
4230 HE,65.0
4228 HE,65.0
4226,95.0
AMD Ryzen 7 5800X,105.0
AMD Ryzen 7 5800 ,65.0
AMD Ryzen 7 3800XT,105.0
AMD Ryzen 9 5980HX,45.0
AMD Ryzen 9 5980HS,35.0
AMD Ryzen 9 5900HX,45.0
AMD Ryzen 9 5900HS,35.0
AMD Ryzen 7 5800H,45.0
AMD Ryzen 7 5800HS,35.0
AMD Ryzen 7 5800U,15.0
AMD Ryzen 7 5700U,15.0
AMD Ryzen 7 3800X,105.0
AMD Ryzen 7 3700X,65.0
AMD Ryzen 7 5700G,65.0
AMD Ryzen 7 5700GE,35.0
AMD Ryzen 7 4700G ,65.0
AMD Ryzen 7 4700GE ,35.0
AMD Ryzen 9 4900H,54.0
AMD Ryzen 9 4900HS,35.0
AMD Ryzen 7 4800HS,45.0
AMD Ryzen 7 4800H,45.0
AMD Ryzen 7 4800U,15.0
AMD Ryzen 7 4700U,15.0
AMD Ryzen 7 4980U Microsoft Surface Edition,15.0
AMD Ryzen 7 2700X,105.0
AMD Ryzen 7 2700,65.0
AMD Ryzen 7 2700E Processor,45.0
AMD Ryzen Threadripper 1900X,180.0
AMD Ryzen 7 1800X,95.0
AMD Ryzen 7 1700X,95.0
AMD Ryzen 7 PRO 3700,65.0
AMD Ryzen 7 1700 Processor,65.0
AMD Ryzen 7 PRO 5850U,15.0
AMD Ryzen 7 PRO 5750G,65.0
AMD Ryzen 7 PRO 5750GE,35.0
AMD Ryzen 7 PRO 4750G,65.0
AMD Ryzen 7 PRO 4750GE,35.0
AMD Ryzen 7 PRO 2700X,95.0
AMD Ryzen 7 PRO 2700,65.0
AMD Ryzen 7 PRO 4750U,15.0
AMD Ryzen 7 PRO 1700X Processor,95.0
AMD Ryzen 7 PRO 1700,65.0
AMD EPYC 72F3,180.0
AMD EPYC 7F32,180.0
AMD EPYC 7262,155.0
AMD EPYC 7252,120.0
AMD EPYC 7232P,120.0
AMD EPYC 7261,170.0
AMD EPYC 7251,120.0
FX-9590,220.0
FX-9370,220.0
FX-8370 with Wraith cooler,125.0
FX-8370E,95.0
FX-8370,125.0
FX-8350 with Wraith cooler,125.0
FX-8350,125.0
FX-8320E,95.0
FX-8320,125.0
FX-8310,95.0
FX-8300,95.0
FX-8150,125.0
FX-8120,125.0
6328,115.0
6320,115.0
6220,115.0
6212,115.0
6140,115.0
6132 HE,85.0
4386,95.0
4376 HE,65.0
4365,40.0
4284,95.0
4280,95.0
4276 HE,65.0
4274 HE,65.0
4256 EE,35.0
3380,65.0
3365,65.0
3280,65.0
AMD Ryzen 9 5900X,105.0
AMD Ryzen 9 5900 ,65.0
AMD Ryzen 9 3900XT,105.0
AMD Ryzen Threadripper PRO 3945WX,280.0
AMD Ryzen 9 3900X,105.0
AMD Ryzen 9 3900 Processor ,65.0
AMD Ryzen Threadripper 2920X,180.0
AMD Ryzen Threadripper 1920X,180.0
AMD Ryzen 9 PRO 3900,65.0
AMD EPYC 7272,120.0
6348,115.0
6344,115.0
6338P,99.0
6238,115.0
6234,115.0
6180 SE,140.0
6176,115.0
6166 HE,85.0
AMD Ryzen 9 5950X,105.0
AMD Ryzen Threadripper PRO 3955WX,280.0
AMD Ryzen 9 3950X,105.0
AMD Ryzen Threadripper 2950X,180.0
AMD Ryzen Threadripper 1950X,180.0
AMD EPYC 73F3,240.0
AMD EPYC 7343,190.0
AMD EPYC 7313P,155.0
AMD EPYC 7313,155.0
AMD EPYC 7F52,240.0
AMD EPYC 7302,155.0
AMD EPYC 7302P,155.0
AMD EPYC 7282,120.0
AMD EPYC 7371,200.0
AMD EPYC 7351P,170.0
AMD EPYC 7351,170.0
AMD EPYC 7301,170.0
AMD EPYC 7281,170.0
6386 SE,140.0
6380,115.0
6378,115.0
6376,115.0
6370P,99.0
6366 HE,85.0
6284 SE,140.0
6282 SE,140.0
6278,115.0
6276,115.0
6274,115.0
6272,115.0
6262 HE,85.0
AMD Ryzen Threadripper 3960X,280.0
AMD Ryzen Threadripper 2970WX,250.0
AMD EPYC 74F3,240.0
AMD EPYC 7443P,200.0
AMD EPYC 7443,200.0
AMD EPYC 7413,180.0
AMD EPYC 7F72,240.0
AMD EPYC 7402,180.0
AMD EPYC 7402P,180.0
AMD EPYC 7352,155.0
AMD EPYC 7451,180.0
AMD EPYC 7401P,170.0
AMD EPYC 7401,170.0
AMD EPYC 7453,225.0
AMD Ryzen Threadripper PRO 3975WX,280.0
AMD Ryzen Threadripper 3970X,280.0
AMD Ryzen Threadripper 2990WX,250.0
AMD EPYC 75F3,280.0
AMD EPYC 7543P,225.0
AMD EPYC 7543,225.0
AMD EPYC 7513,200.0
AMD EPYC 7542,225.0
AMD EPYC 7532,200.0
AMD EPYC 7502,180.0
AMD EPYC 7502P,180.0
AMD EPYC 7452,155.0
AMD EPYC 7601,180.0
AMD EPYC 7551P,180.0
AMD EPYC 7551,180.0
AMD EPYC 7501,170.0
