Model,TDP
Intel Core i3-3115C,25
Intel Core 2 Duo E4300,65
Intel Core 2 Duo E4400,65
Intel Core 2 Duo E4500,65
Intel Core 2 Duo E4600,65
Intel Core 2 Duo E4700,65
Intel Core 2 Duo E6300,65
Intel Core 2 Duo E6320,65
Intel Core 2 Duo E6400,65
Intel Core 2 Duo E6420,65
Intel Core 2 Duo E6600,65
Intel Core 2 Duo E6700,65
Intel Core 2 Duo E6540,65
Intel Core 2 Duo E6550,65
Intel Core 2 Duo E6750,65
Intel Core 2 Duo E6850,65
Intel Core 2 Duo E6305,65
Intel Core 2 Duo E6405,65
Intel Core 2 Duo E7200,65
Intel Core 2 Duo E7300,65
Intel Core 2 Duo E7400,65
Intel Core 2 Duo E7500,65
Intel Core 2 Duo E7600,65
Intel Core 2 Duo E8190,65
Intel Core 2 Duo E8200,65
Intel Core 2 Duo E8290,65
Intel Core 2 Duo E8300,65
Intel Core 2 Duo E8400,65
Intel Core 2 Duo E8500,65
Intel Core 2 Duo E8600,65
Intel Core 2 Duo E8700,65
Intel Core 2 Extreme X6800,75
Intel Core 2 Extreme X6900,75
Intel Core 2 Quad Q6400,105
Intel Core 2 Quad Q6700,95
Intel Core 2 Quad Q8200,95
Intel Core 2 Quad Q8200S,65
Intel Core 2 Quad Q8300,95
Intel Core 2 Quad Q8400,95
Intel Core 2 Quad Q8400S,65
Intel Core 2 Quad Q9300,95
Intel Core 2 Quad Q9400,95
Intel Core 2 Quad Q9400S,65
Intel Core 2 Quad Q9500,95
Intel Core 2 Quad Q9505,95
Intel Core 2 Quad Q9505S,65
Intel Core 2 Quad Q9450,95
Intel Core 2 Quad Q9550,95
Intel Core 2 Quad Q9550S,65
Intel Core 2 Quad Q9650,95
Intel Core 2 Extreme QX6700,130
Intel Core 2 Extreme QX6800,130
Intel Core 2 Extreme QX6850,130
Intel Core 2 Extreme QX9650,130
Intel Core 2 Extreme QX9750,130
Intel Core 2 Extreme QX9770,136
Intel Core 2 Extreme QX9775,150
Intel Core 2 Solo ULV U2100,5.5
Intel Core 2 Solo ULV U2200,5.5
Intel Core 2 Solo SU3300,5.5
Intel Core 2 Solo SU3500,5.5
Intel Core 2 Duo T5200,34
Intel Core 2 Duo T5250,35
Intel Core 2 Duo T5270,35
Intel Core 2 Duo T5300,34
Intel Core 2 Duo T5450,35
Intel Core 2 Duo T5470,35
Intel Core 2 Duo T5500,34
Intel Core 2 Duo T5500,34
Intel Core 2 Duo T5550,35
Intel Core 2 Duo T5600,34
Intel Core 2 Duo T5600,34
Intel Core 2 Duo T5670,35
Intel Core 2 Duo T5750,35
Intel Core 2 Duo T5800,35
Intel Core 2 Duo T5850,35
Intel Core 2 Duo T5870,35
Intel Core 2 Duo T5900,35
Intel Core 2 Duo T7100,35
Intel Core 2 Duo T7100,35
Intel Core 2 Duo T7200,34
Intel Core 2 Duo T7200,34
Intel Core 2 Duo T7250,35
Intel Core 2 Duo T7250,35
Intel Core 2 Duo T7300,35
Intel Core 2 Duo T7300,35
Intel Core 2 Duo T7400,34
Intel Core 2 Duo T7400,34
Intel Core 2 Duo T7500,35
Intel Core 2 Duo T7500,35
Intel Core 2 Duo T7600,34
Intel Core 2 Duo T7600,34
Intel Core 2 Duo T7600G,34
Intel Core 2 Duo T7700,35
Intel Core 2 Duo T7700,35
Intel Core 2 Duo T7800,35
Intel Core 2 Duo T7800,35
Intel Core 2 Duo SL7100,12
Intel Core 2 Duo L7200,17
Intel Core 2 Duo L7300,17
Intel Core 2 Duo L7400,17
Intel Core 2 Duo L7500,17
Intel Core 2 Duo SP7500,20
Intel Core 2 Duo L7700,17
Intel Core 2 Duo SP7700,20
Intel Core 2 Duo U7500,10
Intel Core 2 Duo U7500,10
Intel Core 2 Duo U7600,10
Intel Core 2 Duo U7600,10
Intel Core 2 Duo U7700,10
Intel Core 2 Duo U7700,10
Intel Core 2 Duo E8135,44
Intel Core 2 Duo E8135,44
Intel Core 2 Duo E8135,35
Intel Core 2 Duo E8235,44
Intel Core 2 Duo E8335,44
Intel Core 2 Duo E8335,35
Intel Core 2 Duo E8435,55
Intel Core 2 Duo E8435,44
Intel Core 2 Duo T6400,35
Intel Core 2 Duo T6500,35
Intel Core 2 Duo T6570,35
Intel Core 2 Duo T6600,35
Intel Core 2 Duo T6670,35
Intel Core 2 Duo T6900,35
Intel Core 2 Duo T6970,35
Intel Core 2 Duo T8100,35
Intel Core 2 Duo T8100,35
Intel Core 2 Duo T8300,35
Intel Core 2 Duo T8300,35
Intel Core 2 Duo T9300,35
Intel Core 2 Duo T9300,35
Intel Core 2 Duo T9400,35
Intel Core 2 Duo T9400,35
Intel Core 2 Duo T9500,35
Intel Core 2 Duo T9500,35
Intel Core 2 Duo T9550,35
Intel Core 2 Duo T9550,35
Intel Core 2 Duo T9600,35
Intel Core 2 Duo T9600,35
Intel Core 2 Duo T9800,35
Intel Core 2 Duo T9800,35
Intel Core 2 Duo T9900,35
Intel Core 2 Duo T9900,35
Intel Core 2 Duo P7350,25
Intel Core 2 Duo P7350,25
Intel Core 2 Duo P7370,25
Intel Core 2 Duo P7450,25
Intel Core 2 Duo P7450,25
Intel Core 2 Duo P7550,25
Intel Core 2 Duo P7570,25
Intel Core 2 Duo P8400,25
Intel Core 2 Duo P8400,25
Intel Core 2 Duo P8600,25
Intel Core 2 Duo P8600,25
Intel Core 2 Duo P8700,25
Intel Core 2 Duo P8700,25
Intel Core 2 Duo P8800,25
Intel Core 2 Duo P8800,25
Intel Core 2 Duo P9500,25
Intel Core 2 Duo P9600,25
Intel Core 2 Duo P9700,28
Intel Core 2 Duo SP9300,25
Intel Core 2 Duo SP9400,25
Intel Core 2 Duo SP9600,25
Intel Core 2 Duo SL9300,17
Intel Core 2 Duo SL9380,17
Intel Core 2 Duo SL9400,17
Intel Core 2 Duo SL9600,17
Intel Core 2 Duo SU7300,10
Intel Core 2 Duo SU9300,10
Intel Core 2 Duo SU9400,10
Intel Core 2 Duo SU9600,10
Intel Core 2 Extreme X7800,44
Intel Core 2 Extreme X7900,44
Intel Core 2 Extreme X9000,44
Intel Core 2 Extreme X9100,44
Intel Core 2 Quad Q9000,45
Intel Core 2 Quad Q9100,45
Intel Core 2 Extreme QX9300,45
Intel Core i5-750,95
Intel Core i5-760,95
Intel Core i5-750S,82
Intel Core i5-650,73
Intel Core i5-655K,73
Intel Core i5-660,73
Intel Core i5-661,87
Intel Core i5-670,73
Intel Core i5-680,73
Intel Core i5-2390T,35
Intel Core i5-2300,95
Intel Core i5-2310,95
Intel Core i5-2320,95
Intel Core i5-2380P,95
Intel Core i5-2400,95
Intel Core i5-2450P,95
Intel Core i5-2500,95
Intel Core i5-2500K,95
Intel Core i5-2550K,95
Intel Core i5-2400S,65
Intel Core i5-2405S,65
Intel Core i5-2500S,65
Intel Core i5-2500T,45
Intel Core i5-3470T,35
Intel Core i5-3330,77
Intel Core i5-3340,77
Intel Core i5-3350P,69
Intel Core i5-3450,77
Intel Core i5-3470,77
Intel Core i5-3550,77
Intel Core i5-3570,77
Intel Core i5-3570K,77
Intel Core i5-3330S,65
Intel Core i5-3335S,65
Intel Core i5-3340S,65
Intel Core i5-3450S,65
Intel Core i5-3470S,65
Intel Core i5-3475S,65
Intel Core i5-3550S,65
Intel Core i5-3570S,65
Intel Core i5-3570T,45
Intel Core i5-4570T,35
Intel Core i5-4570TE,35
Intel Core i5-4430,84
Intel Core i5-4440,84
Intel Core i5-4460,84
Intel Core i5-4570,84
Intel Core i5-4590,84
Intel Core i5-4670,84
Intel Core i5-4670K,84
Intel Core i5-4690,84
Intel Core i5-4690K,88
Intel Core i5-4430S,65
Intel Core i5-4440S,65
Intel Core i5-4460S,65
Intel Core i5-4570S,65
Intel Core i5-4590S,65
Intel Core i5-4670S,65
Intel Core i5-4690S,65
Intel Core i5-4460T,35
Intel Core i5-4590T,35
Intel Core i5-4670T,45
Intel Core i5-4690T,45
Intel Core i5-4570R,65
Intel Core i5-4670R,65
Intel Core i5-5575R,65
Intel Core i5-5675C,65
Intel Core i5-5675R,65
Intel Core i5-6400,65
Intel Core i5-6402P,65
Intel Core i5-6500,65
Intel Core i5-6600,65
Intel Core i5-6600K,91
Intel Core i5-6400T,35
Intel Core i5-6500T,35
Intel Core i5-6600T,35
Intel Core i5-6500TE,35
Intel Core i5-6585R,65
Intel Core i5-6685R,65
Intel Core i5-7400,65
Intel Core i5-7500,65
Intel Core i5-7600,65
Intel Core i5-7600K,91
Intel Core i5-7400T,35
Intel Core i5-7500T,35
Intel Core i5-7600T,35
Intel Core i5-7640X,112
Intel Core i5-8400,65
Intel Core i5-8500,65
Intel Core i5-8600,65
Intel Core i5-8600K,95
Intel Core i5-9400,65
Intel Core i5-9400F,65
Intel Core i5-9500,65
Intel Core i5-9500F,65
Intel Core i5-9600,65
Intel Core i5-9600K,95
Intel Core i5-9600KF,95
Intel Core i5-8400T,35
Intel Core i5-8500T,35
Intel Core i5-8600T,35
Intel Core i5-9400T,35
Intel Core i5-9500T,35
Intel Core i5-9600T,35
Intel Core i5-9500E,65
Intel Core i5-9500TE,35
Intel Core i5-10400,65
Intel Core i5-10400F,65
Intel Core i5-10500,65
Intel Core i5-10600,65
Intel Core i5-10600K,125
Intel Core i5-10600KF,125
Intel Core i5-10500E,65
Intel Core i5-10400T,35
Intel Core i5-10500T,35
Intel Core i5-10600T,35
Intel Core i5-10500TE,35
Intel Core i5-11400,65
Intel Core i5-11400F,65
Intel Core i5-11500,65
Intel Core i5-11600,65
Intel Core i5-11600K,125
Intel Core i5-11600KF,125
Intel Core i5-11400T,35
Intel Core i5-11500T,35
Intel Core i5-11600T,35
Intel Core i5-430M,35
Intel Core i5-450M,35
Intel Core i5-460M,35
Intel Core i5-480M,35
Intel Core i5-520M,35
Intel Core i5-540M,35
Intel Core i5-560M,35
Intel Core i5-580M,35
Intel Core i5-520E,35
Intel Core i5-430UM,18
Intel Core i5-470UM,18
Intel Core i5-520UM,18
Intel Core i5-540UM,18
Intel Core i5-560UM,18
Intel Core i5-2410M,35
Intel Core i5-2415M,35
Intel Core i5-2430M,35
Intel Core i5-2435M,35
Intel Core i5-2450M,35
Intel Core i5-2520M,35
Intel Core i5-2540M,35
Intel Core i5-2510E,35
Intel Core i5-2515E,35
Intel Core i5-2467M,17
Intel Core i5-2537M,17
Intel Core i5-2557M,17
Intel Core i5-3210M,35
Intel Core i5-3230M,35
Intel Core i5-3320M,35
Intel Core i5-3340M,35
Intel Core i5-3360M,35
Intel Core i5-3380M,35
Intel Core i5-3610ME,35
Intel Core i5-3317U,17
Intel Core i5-3337U,17
Intel Core i5-3427U,17
Intel Core i5-3437U,17
Intel Core i5-3339Y,13
Intel Core i5-3439Y,13
Intel Core i5-4200M,37
Intel Core i5-4210M,37
Intel Core i5-4300M,37
Intel Core i5-4310M,37
Intel Core i5-4330M,37
Intel Core i5-4340M,37
Intel Core i5-4258U,28
Intel Core i5-4278U,28
Intel Core i5-4288U,28
Intel Core i5-4308U,28
Intel Core i5-4200U,15
Intel Core i5-4210U,15
Intel Core i5-4250U,15
Intel Core i5-4260U,15
Intel Core i5-4300U,15
Intel Core i5-4310U,15
Intel Core i5-4350U,15
Intel Core i5-4360U,15
Intel Core i5-4200Y,11.5
Intel Core i5-4202Y,11.5
Intel Core i5-4210Y,11.5
Intel Core i5-4220Y,11.5
Intel Core i5-4300Y,11.5
Intel Core i5-4302Y,11.5
Intel Core i5-4200H,47
Intel Core i5-4210H,47
Intel Core i5-4400E,37
Intel Core i5-4410E,37
Intel Core i5-4402E,25
Intel Core i5-4402EC,27
Intel Core i5-4422E,25
Intel Core i5-5350H,47
Intel Core i5-5257U,28
Intel Core i5-5287U,28
Intel Core i5-5200U,15
Intel Core i5-5250U,15
Intel Core i5-5300U,15
Intel Core i5-5350U,15
Intel Core i5-6300HQ,45
Intel Core i5-6350HQ,45
Intel Core i5-6440HQ,45
Intel Core i5-6440EQ,45
Intel Core i5-6442EQ,25
Intel Core i5-6267U,28
Intel Core i5-6287U,28
Intel Core i5-6198DU,15
Intel Core i5-6200U,15
Intel Core i5-6260U,15
Intel Core i5-6300U,15
Intel Core i5-6360U,15
Intel Core i5-7300HQ,45
Intel Core i5-7440HQ,45
Intel Core i5-7440EQ,45
Intel Core i5-7442EQ,25
Intel Core i5-7267U,28
Intel Core i5-7287U,28
Intel Core i5-7200U,15
Intel Core i5-7260U,15
Intel Core i5-7300U,15
Intel Core i5-7360U,15
Intel Core i5-7Y54,4.5
Intel Core i5-7Y57,4.5
Intel Core i5-8250U,15
Intel Core i5-8350U,15
Intel Core i5-8305G,65
Intel Core i5-8200Y,5
Intel Core i5-8210Y,7
Intel Core i5-8310Y,7
Intel Core i5-8300H,45
Intel Core i5-8400H,45
Intel Core i5-9300H,45
Intel Core i5-9300HF,45
Intel Core i5-9400H,45
Intel Core i5-8259U,28
Intel Core i5-8269U,28
Intel Core i5-8279U,28
Intel Core i5-8257U,15
Intel Core i5-8260U,15
Intel Core i5-8400B,65
Intel Core i5-8500B,65
Intel Core i5-8265U,15
Intel Core i5-8365U,15
Intel Core i5-8365UE,15
Intel Core i5-10210Y,7
Intel Core i5-10310Y,7
Intel Core i5-10200H,45
Intel Core i5-10300H,45
Intel Core i5-10400H,45
Intel Core i5-10500H,45
Intel Core i5-10210U,15
Intel Core i5-10310U,15
Intel Core i5-1038NG7,28
Intel Core i5-1035G1,15
Intel Core i5-1035G4,15
Intel Core i5-1035G7,15
Intel Core i5-1030G4,9
Intel Core i5-1030G7,9
Intel Core i5-1030NG7,10
Intel Core i5-11260H,45
Intel Core i5-11400H,45
Intel Core i5-11500H,45
Intel Core i5-11500HE,45
Intel Core i5-11300H,35
Intel Core i5-11320H,35
Intel Core i5-1135G7,28
Intel Core i5-1145G7,28
Intel Core i5-1155G7,28
Intel Core i5-1145G7E,15
Intel Core i5-1145GRE,15
Intel Core i5-1130G7,15
Intel Core i5-1140G7,15
Intel Core i7-920,130
Intel Core i7-930,130
Intel Core i7-940,130
Intel Core i7-950,130
Intel Core i7-960,130
Intel Core i7-965 Extreme Edition,130
Intel Core i7-975 Extreme Edition,130
Intel Core i7-860,95
Intel Core i7-870,95
Intel Core i7-875K,95
Intel Core i7-880,95
Intel Core i7-860S,82
Intel Core i7-870S,82
Intel Core i7-970,130
Intel Core i7-980,130
Intel Core i7-980X,130
Intel Core i7-990X,130
Intel Core i7-2600K,95
Intel Core i7-2700K,95
Intel Core i7-2600,95
Intel Core i7-2600S,65
Intel Core i7-3820,130
Intel Core i7-3930K,130
Intel Core i7-3960X,130
Intel Core i7-3970X,150
Intel Core i7-3770K,77
Intel Core i7-3770,77
Intel Core i7-3770S,65
Intel Core i7-3770T,45
Intel Core i7-4820K,130
Intel Core i7-4930K,130
Intel Core i7-4960X,130
Intel Core i7-4770,84
Intel Core i7-4770K,84
Intel Core i7-4771,84
Intel Core i7-4790,84
Intel Core i7-4790K,88
Intel Core i7-4770S,65
Intel Core i7-4790S,65
Intel Core i7-4765T,35
Intel Core i7-4770T,45
Intel Core i7-4785T,35
Intel Core i7-4790T,45
Intel Core i7-4770TE,45
Intel Core i7-4770R,65
Intel Core i7-5820K,140
Intel Core i7-5930K,140
Intel Core i7-5960X,140
Intel Core i7-5775C,65
Intel Core i7-5775R,65
Intel Core i7-6800K,140
Intel Core i7-6850K,140
Intel Core i7-6900K,140
Intel Core i7-6950X,140
Intel Core i7-6700,65
Intel Core i7-6700K,91
Intel Core i7-6700T,35
Intel Core i7-6700TE,35
Intel Core i7-6785R,65
Intel Core i7-7800X,140
Intel Core i7-7820X,140
Intel Core i7-9800X,165
Intel Core i7-7700,65
Intel Core i7-7700K,91
Intel Core i7-7700T,35
Intel Core i7-7740X,112
Intel Core i7-8086K,95
Intel Core i7-8700,65
Intel Core i7-8700K,95
Intel Core i7-9700,65
Intel Core i7-9700F,65
Intel Core i7-9700K,95
Intel Core i7-9700KF,95
Intel Core i7-8700T,35
Intel Core i7-9700T,35
Intel Core i7-9700E,65
Intel Core i7-9700TE,35
Intel Core i7-10700,65
Intel Core i7-10700F,65
Intel Core i7-10700K,125
Intel Core i7-10700KF,125
Intel Core i7-10700E,65
Intel Core i7-10700T,35
Intel Core i7-10700TE,35
Intel Core i7-11700,65
Intel Core i7-11700F,65
Intel Core i7-11700K,125
Intel Core i7-11700KF,125
Intel Core i7-11700T,35
Intel Core i7-720QM,45
Intel Core i7-740QM,45
Intel Core i7-820QM,45
Intel Core i7-840QM,45
Intel Core i7-920XM,55
Intel Core i7-940XM,55
Intel Core i7-620M,35
Intel Core i7-640M,35
Intel Core i7-610E,35
Intel Core i7-620LM,25
Intel Core i7-640LM,25
Intel Core i7-660LM,25
Intel Core i7-620LE,25
Intel Core i7-620UM,18
Intel Core i7-640UM,18
Intel Core i7-660UM,18
Intel Core i7-680UM,18
Intel Core i7-620UE,18
Intel Core i7-660UE,18
Intel Core i7-2620M,35
Intel Core i7-2640M,35
Intel Core i7-2629M,25
Intel Core i7-2649M,25
Intel Core i7-2655LE,25
Intel Core i7-2617M,17
Intel Core i7-2637M,17
Intel Core i7-2657M,17
Intel Core i7-2677M,17
Intel Core i7-2610UE,17
Intel Core i7-2630QM,45
Intel Core i7-2635QM,45
Intel Core i7-2670QM,45
Intel Core i7-2675QM,45
Intel Core i7-2720QM,45
Intel Core i7-2760QM,45
Intel Core i7-2820QM,45
Intel Core i7-2860QM,45
Intel Core i7-2920XM,55
Intel Core i7-2960XM,55
Intel Core i7-2710QE,45
Intel Core i7-2715QE,45
Intel Core i7-3520M,35
Intel Core i7-3540M,35
Intel Core i7-3555LE,25
Intel Core i7-3517U,17
Intel Core i7-3537U,17
Intel Core i7-3667U,17
Intel Core i7-3687U,17
Intel Core i7-3689Y,13
Intel Core i7-3517UE,17
Intel Core i7-3610QM,45
Intel Core i7-3615QM,45
Intel Core i7-3630QM,45
Intel Core i7-3635QM,45
Intel Core i7-3720QM,45
Intel Core i7-3740QM,45
Intel Core i7-3820QM,45
Intel Core i7-3840QM,45
Intel Core i7-3920XM,55
Intel Core i7-3940XM,55
Intel Core i7-3610QE,45
Intel Core i7-3615QE,45
Intel Core i7-3612QM,35
Intel Core i7-3632QM,35
Intel Core i7-3612QE,35
Intel Core i7-4600M,37
Intel Core i7-4610M,37
Intel Core i7-4558U,28
Intel Core i7-4578U,28
Intel Core i7-4500U,15
Intel Core i7-4510U,15
Intel Core i7-4550U,15
Intel Core i7-4600U,15
Intel Core i7-4650U,15
Intel Core i7-4610Y,11.5
Intel Core i7-4700MQ,47
Intel Core i7-4702MQ,37
Intel Core i7-4710MQ,47
Intel Core i7-4712MQ,37
Intel Core i7-4800MQ,47
Intel Core i7-4810MQ,47
Intel Core i7-4900MQ,47
Intel Core i7-4910MQ,47
Intel Core i7-4930MX,57
Intel Core i7-4940MX,57
Intel Core i7-4700HQ,47
Intel Core i7-4702HQ,37
Intel Core i7-4710HQ,47
Intel Core i7-4712HQ,37
Intel Core i7-4720HQ,47
Intel Core i7-4722HQ,37
Intel Core i7-4750HQ,47
Intel Core i7-4760HQ,47
Intel Core i7-4770HQ,47
Intel Core i7-4850HQ,47
Intel Core i7-4860HQ,47
Intel Core i7-4870HQ,47
Intel Core i7-4950HQ,47
Intel Core i7-4960HQ,47
Intel Core i7-4980HQ,47
Intel Core i7-4700EC,43
Intel Core i7-4700EQ,47
Intel Core i7-4701EQ,47
Intel Core i7-4850EQ,47
Intel Core i7-4860EQ,47
Intel Core i7-4702EC,27
Intel Core i7-5700HQ,47
Intel Core i7-5750HQ,47
Intel Core i7-5850HQ,47
Intel Core i7-5950HQ,47
Intel Core i7-5700EQ,47
Intel Core i7-5850EQ,47
Intel Core i7-5557U,28
Intel Core i7-5500U,15
Intel Core i7-5550U,15
Intel Core i7-5600U,15
Intel Core i7-5650U,15
Intel Core i7-6700HQ,45
Intel Core i7-6770HQ,45
Intel Core i7-6820HK,45
Intel Core i7-6820HQ,45
Intel Core i7-6870HQ,45
Intel Core i7-6920HQ,45
Intel Core i7-6970HQ,45
Intel Core i7-6820EQ,45
Intel Core i7-6822EQ,25
Intel Core i7-6567U,28
Intel Core i7-6498DU,15
Intel Core i7-6500U,15
Intel Core i7-6560U,15
Intel Core i7-6600U,15
Intel Core i7-6650U,15
Intel Core i7-6660U,15
Intel Core i7-7700HQ,45
Intel Core i7-7820HQ,45
Intel Core i7-7820HK,45
Intel Core i7-7920HQ,45
Intel Core i7-7820EQ,45
Intel Core i7-7567U,28
Intel Core i7-7500U,15
Intel Core i7-7560U,15
Intel Core i7-7600U,15
Intel Core i7-7660U,15
Intel Core i7-7Y75,4.5
Intel Core i7-8550U,15
Intel Core i7-8650U,15
Intel Core i7-8705G,65
Intel Core i7-8706G,65
Intel Core i7-8709G,100
Intel Core i7-8809G,100
Intel Core i7-8500Y,5
Intel Core i7-8559U,28
Intel Core i7-8569U,28
Intel Core i7-8557U,15
Intel Core i7-8750H,45
Intel Core i7-8850H,45
Intel Core i7-9750H,45
Intel Core i7-9750HF,45
Intel Core i7-9850H,45
Intel Core i7-9850HE,45
Intel Core i7-9850HL,25
Intel Core i7-8700B,65
Intel Core i7-8565U,15
Intel Core i7-8665U,15
Intel Core i7-8665UE,15
Intel Core i7-10510Y,7
Intel Core i7-10750H,45
Intel Core i7-10850H,45
Intel Core i7-10870H,45
Intel Core i7-10875H,45
Intel Core i7-10510U,15
Intel Core i7-10610U,15
Intel Core i7-10710U,15
Intel Core i7-10810U,15
Intel Core i7-1068G7,28
Intel Core i7-1068NG7,28
Intel Core i7-1065G7,15
Intel Core i7-1060G7,9
Intel Core i7-11600H,45
Intel Core i7-11800H,45
Intel Core i7-11850H,45
Intel Core i7-11850HE,45
Intel Core i7-11700B,65
Intel Core i7-11370H,35
Intel Core i7-11375H,35
Intel Core i7-11390H,35
Intel Core i7-1165G7,28
Intel Core i7-1185G7,28
Intel Core i7-1195G7,28
Intel Core i7-1185G7E,28
Intel Core i7-1185GRE,28
Intel Core i7-1160G7,15
Intel Core i7-1180G7,15
Intel Pentium 60,14.6
Intel Pentium 66,16
Intel Pentium 75,8
Intel Pentium 90,9
Intel Pentium 100,10.1
Intel Pentium 120,12.81
Intel Pentium 133,11.2
Intel Pentium 150,11.6
Intel Pentium 166,14.5
Intel Pentium 200,15.5
Intel Pentium MMX 166,13.1
Intel Pentium MMX 200,15.7
Intel Pentium MMX 233,17
Intel Pentium Dual-Core E2140,65
Intel Pentium Dual-Core E2160,65
Intel Pentium Dual-Core E2180,65
Intel Pentium Dual-Core E2200,65
Intel Pentium Dual-Core E2220,65
Intel Pentium Dual-Core E2210,65
Intel Pentium Dual-Core E5200,65
Intel Pentium Dual-Core E5300,65
Intel Pentium E5400,65
Intel Pentium E5500,65
Intel Pentium E5700,65
Intel Pentium E5800,65
Intel Pentium E6300,65
Intel Pentium E6500,65
Intel Pentium E6500K,65
Intel Pentium E6600,65
Intel Pentium E6700,65
Intel Pentium E6800,65
Intel Pentium G6950,73
Intel Pentium G6951,73
Intel Pentium G6960,73
Intel Pentium G620,65
Intel Pentium G622,65
Intel Pentium G630,65
Intel Pentium G632,65
Intel Pentium G640,65
Intel Pentium G645,65
Intel Pentium G840,65
Intel Pentium G850,65
Intel Pentium G860,65
Intel Pentium G870,65
Intel Pentium G620T,35
Intel Pentium G630T,35
Intel Pentium G640T,35
Intel Pentium G645T,35
Intel Pentium G860T,35
Intel Pentium G2010,55
Intel Pentium G2020,55
Intel Pentium G2030,55
Intel Pentium G2120,55
Intel Pentium G2130,55
Intel Pentium G2140,55
Intel Pentium G2020T,35
Intel Pentium G2030T,35
Intel Pentium G2100T,35
Intel Pentium G2120T,35
Intel Pentium G3220,53
Intel Pentium G3240,53
Intel Pentium G3250,53
Intel Pentium G3258,53
Intel Pentium G3260,53
Intel Pentium G3420,53
Intel Pentium G3430,53
Intel Pentium G3440,53
Intel Pentium G3450,53
Intel Pentium G3460,53
Intel Pentium G3470,53
Intel Pentium G3220T,35
Intel Pentium G3240T,35
Intel Pentium G3250T,35
Intel Pentium G3260T,35
Intel Pentium G3420T,35
Intel Pentium G3440T,35
Intel Pentium G3450T,35
Intel Pentium G3460T,35
Intel Pentium G3320TE,35
Intel Pentium J2850,10
Intel Pentium J2900,10
Intel Pentium J3710,6.5
Intel Pentium G4400,54
Intel Pentium G4500,51
Intel Pentium G4520,51
Intel Pentium G4400T,35
Intel Pentium G4500T,35
Intel Pentium G4400TE,35
Intel Pentium J4205,10
Intel Pentium Silver J5005,10
Intel Pentium Silver J5040,10
Intel Pentium G4560,54
Intel Pentium G4600,51
Intel Pentium G4620,51
Intel Pentium G4560T,35
Intel Pentium G4600T,35
Intel Pentium Gold G5400,54
Intel Pentium Gold G5420,54
Intel Pentium Gold G5500,54
Intel Pentium Gold G5600,54
Intel Pentium Gold G5620,54
Intel Pentium Gold G5400T,35
Intel Pentium Gold G5420T,35
Intel Pentium Gold G5500T,35
Intel Pentium Gold G5600T,35
Intel Pentium Gold G5600E,35
Intel Pentium Gold G6400,58
Intel Pentium Gold G6405,58
Intel Pentium Gold G6500,58
Intel Pentium Gold G6505,58
Intel Pentium Gold G6600,58
Intel Pentium Gold G6605,58
Intel Pentium Gold G6400E,58
Intel Pentium Gold G6400T,35
Intel Pentium Gold G6405T,35
Intel Pentium Gold G6500T,35
Intel Pentium Gold G6505T,35
Intel Pentium Gold G6400TE,35
Intel Pentium Silver N6005,10
Intel Pentium Dual-Core T2060,31
Intel Pentium Dual-Core T2080,31
Intel Pentium Dual-Core T2130,31
Intel Pentium Dual-Core T2350,31
Intel Pentium Dual-Core T2310,35
Intel Pentium Dual-Core T2330,35
Intel Pentium Dual-Core T2370,35
Intel Pentium Dual-Core T2390,35
Intel Pentium Dual-Core T2410,35
Intel Pentium Dual-Core T3200,35
Intel Pentium Dual-Core T3400,35
Intel Pentium T4200,35
Intel Pentium T4300,35
Intel Pentium T4400,35
Intel Pentium T4500,35
Intel Pentium SU2700,10
Intel Pentium SU4100,10
Intel Pentium P6000,35
Intel Pentium P6100,35
Intel Pentium P6200,35
Intel Pentium P6300,35
Intel Pentium U5400,18
Intel Pentium U5600,18
Intel Pentium B940,35
Intel Pentium B950,35
Intel Pentium B960,35
Intel Pentium B970,35
Intel Pentium B980,35
Intel Pentium 957,17
Intel Pentium 967,17
Intel Pentium 977,17
Intel Pentium 987,17
Intel Pentium 997,17
Intel Pentium A1018,35
Intel Pentium 2020M,35
Intel Pentium 2030M,35
Intel Pentium 2117U,17
Intel Pentium 2127U,17
Intel Pentium 2129Y,10
Intel Pentium 3550M,37
Intel Pentium 3560M,37
Intel Pentium 3556U,15
Intel Pentium 3558U,15
Intel Pentium 3560Y,11.5
Intel Pentium 3561Y,11.5
Intel Pentium 3805U,15
Intel Pentium 3825U,15
Intel Pentium N3510,7.5
Intel Pentium N3520,7.5
Intel Pentium N3530,7.5
Intel Pentium N3540,7.5
Intel Pentium N3700,6
Intel Pentium N3710,6
Intel Pentium 4405U,15
Intel Pentium 4405Y,6
Intel Pentium N4200,6
Intel Pentium Silver N5000,6
Intel Pentium Silver N5030,6
Intel Pentium Gold 4415U,15
Intel Pentium Gold 4410Y,6
Intel Pentium Gold 4415Y,6
Intel Pentium Gold 4417U,15
Intel Pentium Gold 4425Y,6
Intel Pentium Gold 6500Y,5
Intel Pentium Gold 5405U,15
Intel Pentium Gold 6405U,15
Intel Pentium 6805,15
Intel Pentium Gold 7505,15
Intel Pentium Silver N6000,6
Intel Pentium 350,15
Intel Pentium 1403,80
Intel Pentium 1407,80
Intel Pentium 1405,40
Intel Pentium 1403 v2,80
Intel Pentium 1405 v2,40
Intel Pentium D1507,20
Intel Pentium D1508,25
Intel Pentium D1509,19
Intel Pentium D1517,25
Intel Pentium D1519,25
